,predict,relation
16000,xAttr,xReact
16001,oEffect,xWant
16002,xAttr,xAttr
16003,xIntent,xWant
16004,xAttr,xAttr
16005,xAttr,xAttr
16006,xIntent,xIntent
16007,xEffect,oEffect
16008,xIntent,oWant
16009,xIntent,oWant
16010,oEffect,oEffect
16011,xIntent,xWant
16012,xNeed,xReact
16013,oEffect,xReact
16014,xIntent,xWant
16015,xAttr,xAttr
16016,xEffect,xReact
16017,xIntent,oEffect
16018,xReact,xWant
16019,xEffect,xEffect
16020,xIntent,xReact
16021,xNeed,xAttr
16022,xIntent,xNeed
16023,xWant,xIntent
16024,oWant,xIntent
16025,xIntent,xEffect
16026,oWant,xNeed
16027,xEffect,xAttr
16028,xIntent,xAttr
16029,xIntent,xEffect
16030,xIntent,oWant
16031,xIntent,xNeed
16032,xReact,oReact
16033,xEffect,xEffect
16034,xAttr,oReact
16035,xIntent,xWant
16036,xAttr,xAttr
16037,xIntent,xIntent
16038,xAttr,xAttr
16039,xIntent,xAttr
16040,xIntent,xNeed
16041,xIntent,xReact
16042,oWant,xIntent
16043,xIntent,xWant
16044,xIntent,oReact
16045,xEffect,xAttr
16046,xEffect,xEffect
16047,xIntent,xNeed
16048,xIntent,xWant
16049,xAttr,oReact
16050,oWant,xWant
16051,xAttr,oReact
16052,xIntent,xNeed
16053,oWant,xIntent
16054,xEffect,xReact
16055,xEffect,xReact
16056,xEffect,oEffect
16057,xEffect,xAttr
16058,xEffect,xAttr
16059,xIntent,xIntent
16060,xIntent,xNeed
16061,xIntent,oWant
16062,xEffect,oReact
16063,oEffect,xReact
16064,xIntent,xEffect
16065,xIntent,xNeed
16066,xEffect,xWant
16067,xIntent,xWant
16068,xWant,xAttr
16069,xIntent,xIntent
16070,oEffect,xIntent
16071,xIntent,oWant
16072,xAttr,xReact
16073,oEffect,xReact
16074,xAttr,xAttr
16075,xNeed,xEffect
16076,xIntent,xEffect
16077,xIntent,xIntent
16078,xIntent,xIntent
16079,xIntent,xIntent
16080,xEffect,xAttr
16081,xIntent,xWant
16082,xReact,xEffect
16083,oEffect,xEffect
16084,oEffect,oEffect
16085,xAttr,xEffect
16086,xAttr,oReact
16087,xIntent,xEffect
16088,oEffect,xReact
16089,xIntent,oWant
16090,xAttr,xAttr
16091,xReact,xReact
16092,xIntent,xWant
16093,xAttr,xAttr
16094,xEffect,xAttr
16095,xIntent,xEffect
16096,xIntent,xWant
16097,xEffect,xEffect
16098,xEffect,oReact
16099,xIntent,xEffect
16100,xIntent,xIntent
16101,oReact,xEffect
16102,xIntent,xWant
16103,xEffect,xReact
16104,xIntent,xAttr
16105,xIntent,oEffect
16106,xWant,xWant
16107,xIntent,xNeed
16108,xIntent,xWant
16109,xWant,xEffect
16110,xIntent,oWant
16111,xNeed,xWant
16112,xIntent,xIntent
16113,xAttr,xAttr
16114,xAttr,xReact
16115,xIntent,xNeed
16116,xReact,xNeed
16117,xNeed,oEffect
16118,xAttr,xAttr
16119,xEffect,xAttr
16120,xIntent,xNeed
16121,xIntent,xNeed
16122,xEffect,xReact
16123,xAttr,oReact
16124,xWant,xWant
16125,xIntent,xIntent
16126,oEffect,xIntent
16127,xIntent,xIntent
16128,xAttr,xWant
16129,xEffect,xReact
16130,xIntent,oReact
16131,oEffect,xEffect
16132,oEffect,xReact
16133,xAttr,xAttr
16134,xIntent,xWant
16135,xIntent,xEffect
16136,xAttr,xWant
16137,xIntent,xWant
16138,xIntent,xNeed
16139,xIntent,oWant
16140,xIntent,xNeed
16141,xIntent,xIntent
16142,xAttr,xAttr
16143,xReact,oWant
16144,xAttr,xAttr
16145,xIntent,xWant
16146,xNeed,xWant
16147,xIntent,xWant
16148,xNeed,oWant
16149,xWant,oEffect
16150,xAttr,xAttr
16151,xIntent,oEffect
16152,xEffect,oReact
16153,xAttr,oReact
16154,xEffect,xReact
16155,xAttr,xReact
16156,xWant,xReact
16157,xEffect,oReact
16158,xWant,oEffect
16159,xIntent,xWant
16160,xEffect,xReact
16161,xNeed,xReact
16162,oEffect,oEffect
16163,xIntent,xNeed
16164,xAttr,xReact
16165,xIntent,xWant
16166,xIntent,xReact
16167,xAttr,xAttr
16168,xEffect,xAttr
16169,xIntent,oReact
16170,xAttr,xAttr
16171,xAttr,xAttr
16172,xIntent,oReact
16173,xIntent,oReact
16174,xEffect,oReact
16175,xIntent,xNeed
16176,oWant,xWant
16177,xEffect,xEffect
16178,xIntent,xAttr
16179,xIntent,xWant
16180,xIntent,xIntent
16181,xIntent,xWant
16182,oEffect,xEffect
16183,oWant,xEffect
16184,xAttr,xAttr
16185,xReact,xAttr
16186,oEffect,xEffect
16187,xIntent,xIntent
16188,oEffect,xEffect
16189,xIntent,xWant
16190,oEffect,xEffect
16191,xIntent,xIntent
16192,xIntent,oReact
16193,xIntent,xIntent
16194,xReact,xEffect
16195,xEffect,oEffect
16196,xIntent,oWant
16197,xIntent,xWant
16198,xAttr,xAttr
16199,xIntent,xWant
16200,xIntent,xWant
16201,xIntent,xEffect
16202,xWant,xNeed
16203,xIntent,oEffect
16204,xEffect,xEffect
16205,xIntent,xIntent
16206,xIntent,oEffect
16207,xIntent,xAttr
16208,xIntent,xWant
16209,xIntent,xWant
16210,xIntent,oWant
16211,xIntent,xEffect
16212,xAttr,xReact
16213,xAttr,xAttr
16214,xAttr,oEffect
16215,NA,xWant
16216,xIntent,xWant
16217,xReact,oReact
16218,xEffect,xEffect
16219,xIntent,xWant
16220,xNeed,xWant
16221,xEffect,xWant
16222,xReact,xIntent
16223,xIntent,xWant
16224,xIntent,oWant
16225,xIntent,xNeed
16226,xEffect,oEffect
16227,xIntent,xEffect
16228,xEffect,xEffect
16229,xWant,xNeed
16230,xIntent,xWant
16231,xIntent,xWant
16232,xReact,xIntent
16233,xEffect,xReact
16234,xIntent,xNeed
16235,xIntent,xIntent
16236,NA,xWant
16237,xIntent,xWant
16238,xIntent,oReact
16239,xIntent,oWant
16240,xReact,oReact
16241,xWant,xAttr
16242,xIntent,oWant
16243,xIntent,xNeed
16244,xAttr,xEffect
16245,oEffect,xEffect
16246,xIntent,xWant
16247,xNeed,xNeed
16248,xAttr,xAttr
16249,oEffect,oWant
16250,xIntent,xNeed
16251,xWant,xEffect
16252,xAttr,xReact
16253,xIntent,xWant
16254,xIntent,xIntent
16255,xIntent,xAttr
16256,xAttr,xReact
16257,xNeed,xWant
16258,xIntent,xAttr
16259,xEffect,xReact
16260,xWant,xWant
16261,xAttr,xReact
16262,xEffect,xEffect
16263,xAttr,xReact
16264,xEffect,oReact
16265,xAttr,xReact
16266,xEffect,xReact
16267,xEffect,xWant
16268,xAttr,xAttr
16269,xIntent,xIntent
16270,xIntent,xAttr
16271,xAttr,xEffect
16272,xAttr,xAttr
16273,xIntent,oWant
16274,xAttr,oReact
16275,xWant,xReact
16276,oEffect,oReact
16277,xIntent,xAttr
16278,xReact,xNeed
16279,xIntent,xNeed
16280,xReact,xReact
16281,xNeed,xIntent
16282,xIntent,xAttr
16283,xIntent,oReact
16284,xIntent,xIntent
16285,xAttr,xAttr
16286,xIntent,xNeed
16287,xAttr,xAttr
16288,xIntent,xNeed
16289,xAttr,oReact
16290,xAttr,xAttr
16291,xIntent,xReact
16292,xIntent,xWant
16293,xAttr,xAttr
16294,xIntent,xIntent
16295,xIntent,xIntent
16296,xIntent,oWant
16297,xWant,xReact
16298,xWant,xNeed
16299,xEffect,xReact
16300,xIntent,xIntent
16301,xEffect,xReact
16302,xEffect,xEffect
16303,xEffect,xEffect
16304,xEffect,xNeed
16305,xIntent,xNeed
16306,oEffect,xAttr
16307,xIntent,oWant
16308,xIntent,xWant
16309,oEffect,xReact
16310,NA,xNeed
16311,xAttr,xAttr
16312,xEffect,oReact
16313,xIntent,xEffect
16314,xEffect,xAttr
16315,xIntent,xIntent
16316,oEffect,xEffect
16317,xAttr,xReact
16318,xIntent,oReact
16319,xIntent,xIntent
16320,xIntent,xNeed
16321,xAttr,xAttr
16322,xIntent,xReact
16323,xIntent,xWant
16324,xIntent,xNeed
16325,xIntent,xNeed
16326,xIntent,xIntent
16327,xWant,xNeed
16328,xNeed,oReact
16329,xIntent,xNeed
16330,xWant,xNeed
16331,xNeed,xEffect
16332,xIntent,oReact
16333,xIntent,xWant
16334,oEffect,xWant
16335,xEffect,oReact
16336,xReact,xReact
16337,xWant,xWant
16338,xAttr,xReact
16339,xReact,xAttr
16340,xAttr,xAttr
16341,xAttr,xAttr
16342,xEffect,xReact
16343,xEffect,xEffect
16344,xIntent,oEffect
16345,xIntent,xIntent
16346,xReact,xAttr
16347,xAttr,xAttr
16348,xIntent,xIntent
16349,xIntent,oWant
16350,xIntent,xNeed
16351,xWant,xIntent
16352,xEffect,xReact
16353,xIntent,xReact
16354,xIntent,xIntent
16355,xIntent,xIntent
16356,xAttr,xIntent
16357,xAttr,xAttr
16358,xIntent,xWant
16359,xIntent,xIntent
16360,xAttr,xReact
16361,xEffect,xEffect
16362,xIntent,xWant
16363,xIntent,oReact
16364,xAttr,xWant
16365,xEffect,xReact
16366,xIntent,xNeed
16367,xWant,oWant
16368,xWant,xWant
16369,xIntent,xEffect
16370,xIntent,xEffect
16371,xWant,xWant
16372,xWant,xReact
16373,xWant,oReact
16374,xIntent,xReact
16375,xEffect,oReact
16376,xReact,xReact
16377,xReact,xAttr
16378,xAttr,xEffect
16379,xWant,xWant
16380,xIntent,xWant
16381,xAttr,xIntent
16382,xIntent,xWant
16383,xIntent,xWant
16384,xIntent,xNeed
16385,xReact,xAttr
16386,xIntent,xWant
16387,xEffect,xEffect
16388,xIntent,xWant
16389,xAttr,xWant
16390,xReact,oEffect
16391,xIntent,xNeed
16392,xWant,xReact
16393,xIntent,xAttr
16394,xIntent,oReact
16395,xAttr,xAttr
16396,xAttr,xAttr
16397,xAttr,oEffect
16398,xEffect,oEffect
16399,xIntent,oWant
16400,xEffect,xAttr
16401,xReact,xEffect
16402,xIntent,xReact
16403,xAttr,xReact
16404,oWant,xWant
16405,xIntent,xEffect
16406,xIntent,oReact
16407,xIntent,xEffect
16408,xEffect,xEffect
16409,xWant,xAttr
16410,xIntent,oWant
16411,xIntent,oWant
16412,oEffect,xEffect
16413,xIntent,xIntent
16414,xIntent,xNeed
16415,xIntent,xNeed
16416,xIntent,xReact
16417,xAttr,xAttr
16418,xReact,oEffect
16419,xIntent,oWant
16420,xIntent,xIntent
16421,xIntent,xAttr
16422,xNeed,xWant
16423,xIntent,xReact
16424,xAttr,xAttr
16425,xIntent,xNeed
16426,xEffect,xEffect
16427,xIntent,xReact
16428,xAttr,xAttr
16429,oEffect,oReact
16430,oEffect,oWant
16431,xAttr,oReact
16432,xIntent,xWant
16433,xIntent,xNeed
16434,xWant,xEffect
16435,xIntent,xIntent
16436,xIntent,xIntent
16437,xAttr,xAttr
16438,xReact,xEffect
16439,oEffect,xEffect
16440,xWant,oWant
16441,xIntent,oReact
16442,xAttr,xAttr
16443,xIntent,xAttr
16444,xIntent,xWant
16445,xIntent,oWant
16446,xIntent,xReact
16447,xWant,xIntent
16448,xIntent,xIntent
16449,xNeed,xIntent
16450,xAttr,xEffect
16451,xIntent,xNeed
16452,xIntent,xNeed
16453,xIntent,xNeed
16454,xAttr,xAttr
16455,xReact,xAttr
16456,oWant,xWant
16457,xIntent,xWant
16458,xIntent,xIntent
16459,xNeed,xAttr
16460,xIntent,oWant
16461,oReact,xWant
16462,xEffect,xReact
16463,xAttr,xIntent
16464,xAttr,xAttr
16465,xIntent,xIntent
16466,xIntent,xWant
16467,xAttr,xEffect
16468,xIntent,xWant
16469,xAttr,xAttr
16470,xIntent,xEffect
16471,xNeed,xEffect
16472,xAttr,xAttr
16473,xAttr,xAttr
16474,oEffect,xIntent
16475,NA,xWant
16476,xReact,xReact
16477,xEffect,xEffect
16478,xIntent,xNeed
16479,xIntent,oReact
16480,xWant,xIntent
16481,xEffect,xEffect
16482,xAttr,xAttr
16483,xAttr,xAttr
16484,oEffect,oEffect
16485,xNeed,xNeed
16486,xIntent,xWant
16487,xEffect,xIntent
16488,xIntent,xWant
16489,xIntent,xIntent
16490,xIntent,xWant
16491,xWant,oEffect
16492,xWant,oWant
16493,xIntent,xReact
16494,xIntent,xEffect
16495,xAttr,xEffect
16496,xAttr,xAttr
16497,xIntent,xIntent
16498,xIntent,xIntent
16499,xIntent,xWant
16500,xAttr,oWant
16501,xAttr,xNeed
16502,xNeed,xEffect
16503,xAttr,xReact
16504,xIntent,xNeed
16505,xWant,xIntent
16506,xAttr,xReact
16507,xEffect,xEffect
16508,xIntent,xNeed
16509,xIntent,xEffect
16510,oEffect,xReact
16511,xAttr,xEffect
16512,xEffect,xReact
16513,xIntent,xWant
16514,xIntent,oWant
16515,xNeed,xReact
16516,xEffect,xEffect
16517,xIntent,oReact
16518,xIntent,xNeed
16519,xIntent,xReact
16520,xWant,oWant
16521,xEffect,xReact
16522,xAttr,xReact
16523,xIntent,xNeed
16524,xIntent,xAttr
16525,xEffect,xReact
16526,xIntent,xWant
16527,xIntent,xAttr
16528,xReact,xEffect
16529,xEffect,xAttr
16530,xAttr,xEffect
16531,NA,xWant
16532,xIntent,xWant
16533,xIntent,xWant
16534,xEffect,xAttr
16535,xIntent,xEffect
16536,xAttr,oWant
16537,xWant,xNeed
16538,xIntent,xNeed
16539,xWant,xWant
16540,xEffect,xEffect
16541,xIntent,xWant
16542,xAttr,xAttr
16543,xAttr,xAttr
16544,xIntent,xWant
16545,xAttr,oReact
16546,xIntent,xIntent
16547,xReact,xEffect
16548,xReact,xWant
16549,xIntent,xIntent
16550,xIntent,xNeed
16551,oReact,xEffect
16552,oEffect,xEffect
16553,xIntent,xAttr
16554,xEffect,xNeed
16555,xIntent,xWant
16556,NA,oReact
16557,oReact,xEffect
16558,xIntent,oWant
16559,NA,xNeed
16560,xIntent,xWant
16561,xAttr,xWant
16562,xIntent,oWant
16563,xIntent,xNeed
16564,xIntent,oWant
16565,xIntent,xEffect
16566,xIntent,xWant
16567,xEffect,xEffect
16568,xIntent,xNeed
16569,xEffect,xEffect
16570,xAttr,xWant
16571,oReact,xReact
16572,xIntent,xWant
16573,xIntent,oWant
16574,xIntent,xNeed
16575,xAttr,xEffect
16576,xWant,xWant
16577,xIntent,xNeed
